date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:27:24	1152/1152	---M-Z	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2018%20May%202021%2003:57:23%20GMT	http://milkywayinfotech.in/shopify-customization	C:/My%20Web%20Sites/Milkyway/milkywayinfotech.in/shopify-customization.html	(from http://milkywayinfotech.in/)
09:27:25	353883/353883	---M--	200	added ('OK')	image/jpeg	date:Sat,%2017%20Apr%202021%2004:18:40%20GMT	https://www.milkywayinfotech.in/public/front/img/video-img.jpg	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/img/video-img.jpg	(from http://milkywayinfotech.in/about-us)
09:27:25	2230/2230	---M--	200	added ('OK')	image/png	date:Sat,%2001%20May%202021%2008:48:58%20GMT	https://www.milkywayinfotech.in/public/front/img/testimonial/1.png	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/img/testimonial/1.png	(from http://milkywayinfotech.in/about-us)
09:27:25	8020/8020	---M--	200	added ('OK')	image/png	date:Sat,%2001%20May%202021%2008:49:26%20GMT	https://www.milkywayinfotech.in/public/front/img/testimonial/2.png	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/img/testimonial/2.png	(from http://milkywayinfotech.in/about-us)
09:27:26	4784/4784	---M--	200	added ('OK')	image/png	date:Sat,%2001%20May%202021%2008:49:52%20GMT	https://www.milkywayinfotech.in/public/front/img/testimonial/3.png	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/img/testimonial/3.png	(from http://milkywayinfotech.in/about-us)
09:27:26	5292/5292	---M--	200	added ('OK')	image/png	date:Sat,%2001%20May%202021%2008:50:20%20GMT	https://www.milkywayinfotech.in/public/front/img/testimonial/4.png	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/img/testimonial/4.png	(from http://milkywayinfotech.in/about-us)
09:27:26	2371/2371	---M--	200	added ('OK')	image/png	date:Sat,%2001%20May%202021%2008:50:50%20GMT	https://www.milkywayinfotech.in/public/front/img/testimonial/5.png	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/img/testimonial/5.png	(from http://milkywayinfotech.in/about-us)
09:27:27	3632/3632	---M--	200	added ('OK')	image/png	date:Sat,%2001%20May%202021%2008:51:16%20GMT	https://www.milkywayinfotech.in/public/front/img/testimonial/6.png	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/img/testimonial/6.png	(from http://milkywayinfotech.in/about-us)
09:27:27	5177/5177	---M--	200	added ('OK')	image/png	date:Sat,%2001%20May%202021%2008:51:44%20GMT	https://www.milkywayinfotech.in/public/front/img/testimonial/7.png	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/img/testimonial/7.png	(from http://milkywayinfotech.in/about-us)
09:27:27	3879/3879	---M--	200	added ('OK')	image/png	date:Sat,%2001%20May%202021%2008:52:14%20GMT	https://www.milkywayinfotech.in/public/front/img/testimonial/8.png	C:/My%20Web%20Sites/Milkyway/www.milkywayinfotech.in/public/front/img/testimonial/8.png	(from http://milkywayinfotech.in/about-us)
